ID_UdeC,Carrera,ID_Geografico,Asignaturas_reprobadas_promedio,Motivacion_promedio,Intencion_abandono_promedio,Puntaje ponderado promedio,Preferencia promedio
3309,Ingenieria Civil Industrial,Chiguayante,0.0,3.0,2.0,702.0532171581771,1.2225201072386058
3309,Ingenieria Civil Industrial,Concepcion,0.7755102040816326,4.0,1.7346938775510203,702.0532171581771,1.2225201072386058
3309,Ingenieria Civil Industrial,Coronel,0.7368421052631579,4.631578947368421,1.0,702.0532171581771,1.2225201072386058
3309,Ingenieria Civil Industrial,Ecuador,0.0,3.0,3.0,702.0532171581771,1.2225201072386058
3309,Ingenieria Civil Industrial,Hualpen,2.0,4.0,1.0,702.0532171581771,1.2225201072386058
3309,Ingenieria Civil Industrial,Otras Biobio,1.7833333333333334,3.8833333333333333,1.5833333333333333,702.0532171581771,1.2225201072386058
3309,Ingenieria Civil Industrial,San Pedro de la Paz,1.3333333333333333,4.666666666666667,1.3333333333333333,702.0532171581771,1.2225201072386058
3309,Ingenieria Civil Industrial,Talcahuano,0.0,4.0,1.0,702.0532171581771,1.2225201072386058
3309,Ingenieria Civil Industrial,Zona Norte,0.2857142857142857,3.5714285714285716,1.8571428571428572,697.845652173913,1.391304347826087
3309,Ingenieria Civil Industrial,Zona Sur,1.5217391304347827,3.608695652173913,1.6956521739130435,700.8798245614036,1.4035087719298245
3310,Ingenieria Civil,Chiguayante,0.7857142857142857,3.642857142857143,2.2142857142857144,707.7716165413534,1.2255639097744362
3310,Ingenieria Civil,Concepcion,1.413265306122449,3.3418367346938775,1.8214285714285714,707.7716165413534,1.2255639097744362
3310,Ingenieria Civil,Coronel,0.0,3.75,1.25,707.7716165413534,1.2255639097744362
3310,Ingenieria Civil,Florida,0.0,5.0,1.0,707.7716165413534,1.2255639097744362
3310,Ingenieria Civil,Hualpen,5.333333333333333,2.3333333333333335,4.333333333333333,707.7716165413534,1.2255639097744362
3310,Ingenieria Civil,Hualqui,3.0,3.0,1.0,707.7716165413534,1.2255639097744362
3310,Ingenieria Civil,Otras Biobio,1.5806451612903225,3.858064516129032,1.8,707.7716165413534,1.2255639097744362
3310,Ingenieria Civil,Penco,0.0,3.909090909090909,2.090909090909091,707.7716165413534,1.2255639097744362
3310,Ingenieria Civil,San Pedro de la Paz,3.25,2.388888888888889,2.2222222222222223,707.7716165413534,1.2255639097744362
3310,Ingenieria Civil,Santa Juana,0.9230769230769231,2.6923076923076925,1.9230769230769231,707.7716165413534,1.2255639097744362
3310,Ingenieria Civil,Talcahuano,0.8888888888888888,3.9444444444444446,1.3333333333333333,707.7716165413534,1.2255639097744362
3310,Ingenieria Civil,Tome,0.0,2.4,3.6,707.7716165413534,1.2255639097744362
3310,Ingenieria Civil,Zona Norte,1.4861111111111112,3.611111111111111,1.4444444444444444,705.655,1.35
3310,Ingenieria Civil,Zona Sur,1.5897435897435896,3.3076923076923075,1.7435897435897436,709.0193548387098,1.1612903225806452
3311,Ingenieria Electrica,Concepcion,1.4848484848484849,3.9393939393939394,1.0909090909090908,675.4276836158193,1.5649717514124293
3311,Ingenieria Electrica,Florida,0.0,1.0,2.0,675.4276836158193,1.5649717514124293
3311,Ingenieria Electrica,Hualqui,0.0,4.0,1.0,675.4276836158193,1.5649717514124293
3311,Ingenieria Electrica,Lota,5.0,4.0,2.0,675.4276836158193,1.5649717514124293
3311,Ingenieria Electrica,Otras Biobio,1.8245614035087718,3.6491228070175437,1.719298245614035,675.4276836158193,1.5649717514124293
3311,Ingenieria Electrica,Santa Juana,3.75,4.0,3.0,675.4276836158193,1.5649717514124293
3311,Ingenieria Electrica,Talcahuano,1.9,3.45,1.45,675.4276836158193,1.5649717514124293
3311,Ingenieria Electrica,Talcamavida,0.0,4.0,1.0,675.4276836158193,1.5649717514124293
3311,Ingenieria Electrica,Zona Norte,4.230769230769231,3.5384615384615383,2.3846153846153846,673.6590909090909,1.5909090909090908
3311,Ingenieria Electrica,Zona Sur,1.293103448275862,4.137931034482759,1.5344827586206897,696.85,1.2380952380952381
3318,Ingenieria Electronica,Concepcion,1.3582089552238805,3.298507462686567,2.0,660.9674479166666,1.5364583333333333
3318,Ingenieria Electronica,Florida,0.0,4.0,1.0,660.9674479166666,1.5364583333333333
3318,Ingenieria Electronica,Hualpen,1.0,4.0,1.5,660.9674479166666,1.5364583333333333
3318,Ingenieria Electronica,Otras Biobio,1.186046511627907,3.2790697674418605,2.1627906976744184,660.9674479166666,1.5364583333333333
3318,Ingenieria Electronica,San Pedro de la Paz,1.9,4.0,1.7,660.9674479166666,1.5364583333333333
3318,Ingenieria Electronica,Talcahuano,0.7692307692307693,4.0,1.3076923076923077,660.9674479166666,1.5364583333333333
3318,Ingenieria Electronica,Tome,0.0,4.0,1.0,660.9674479166666,1.5364583333333333
3318,Ingenieria Electronica,Zona Norte,2.0,3.625,1.75,673.7520833333333,1.25
3318,Ingenieria Electronica,Zona Sur,3.3076923076923075,2.230769230769231,3.3076923076923075,666.7928571428572,1.3214285714285714
3319,Ingenieria Informatica,Concepcion,3.185185185185185,3.5185185185185186,1.4074074074074074,659.984541062802,1.3333333333333333
3319,Ingenieria Informatica,Coronel,0.0,4.0,1.0,659.984541062802,1.3333333333333333
3319,Ingenieria Informatica,Florida,9.0,1.0,3.0,659.984541062802,1.3333333333333333
3319,Ingenieria Informatica,Lota,0.0,4.0,1.0,659.984541062802,1.3333333333333333
3319,Ingenieria Informatica,Otras Biobio,0.13513513513513514,3.7837837837837838,1.6756756756756757,659.984541062802,1.3333333333333333
3319,Ingenieria Informatica,San Pedro de la Paz,12.0,3.0,3.0,659.984541062802,1.3333333333333333
3319,Ingenieria Informatica,Talcahuano,3.6666666666666665,3.5,2.5,659.984541062802,1.3333333333333333
3319,Ingenieria Informatica,Zona Norte,2.0,3.5,2.5,647.5862500000001,1.5
3319,Ingenieria Informatica,Zona Sur,0.0,4.0,1.0,658.7607142857142,1.5714285714285714
